grCode	en	abbreviation	el	otherName
18.10.90.21.001	Tissue Transglutaminase Antibodies		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΙΣΤΙΚΗΣ ΤΡΑΝΣΓΛΟΥΤΑΜΙΝΑΣΗΣ (IgA, IgG)	
18.10.90.22.001	Tissue Transglutaminase/ Gliadin Antibodies Combitest		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΙΣΤΙΚΗΣ ΤΡΑΝΣΓΛΟΥΤΑΜΙΝΑΣΗΣ/ΓΛΙΑΔΙΝΗΣ (IgA, IgG)	
18.10.90.23.001	Acetylcholin Receptor Antibodies	ARA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΥΠΟΔΟΧΕΩΝ ΤΗΣ ΑΚΕΤΥΛΟΧΟΛΙΝΗΣ	
18.10.90.25.001	Anti-Smooth Muscle Antibodies	ASMA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΛΕΙΩΝ ΜΥΪΚΩΝ ΙΝΩΝ	
18.10.90.90.900	Other Other Auto-Immune Disease Tests		ΕΞΕΤΑΣΕΙΣ ΓΙΑ ΑΛΛΑ ΑΥΤΟΑΝΟΣΑ ΝΟΣΗΜΑΤΑ	
18.11.01.01.001	Anti-Streptococcal Deoxyribonuclease B (Anti-DNAase B)	ADNase B	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΣΤΡΕΠΤΟΚΟΚΚΙΚΗΣ ΔΕΣΟΞΥΡΙΒΟΝΟΥΚΛΕΑΣΗΣ Β	
18.11.01.02.001	Anti-Streptococcal Hyaluronidase		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΣΤΡΕΠΤΟΚΟΚΚΙΚΗΣ ΥΑΛΟΥΡΟΝΙΔΑΣΗΣ	
18.11.01.03.001	Anti-Streptokinase	ASK	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΣΤΡΕΠΤΟΚΙΝΑΣΗΣ	
18.11.01.04.001	Anti-Streptolysin O Reaction Time / Titre (qualitative)	ASR	ΤΙΤΛΟΣ ΑΝΤΙΣΩΜΑΤΩΝ ΕΝΑΝΤΙ ΣΤΡΕΠΤΟΛΥΣΙΝΗΣ Ο	
18.11.01.05.001	Anti-Streptolysin O (quantitative)	ASL/ASLO	ΑΝΤΙΣΤΡΕΠΤΟΛΥΣΙΝΗ O (ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ)	
18.11.01.06.001	Anti-Staphylolysin Reaction Time / Titre (qualitative)		ΤΙΤΛΟΣ ΑΝΤΙΣΤΡΕΠΤΟΛΥΣΙΝΗΣ	
18.11.01.07.001	Anti-Staphylolysin (quantitative)		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΣΤΑΦΥΛΟΛΥΣΙΝΗΣ (ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ)	
18.11.01.08.001	Circulating Immune Complexes	CIC	ΚΥΚΛΟΦΟΡΟΥΝΤΑ ΑΝΟΣΟΣΥΜΠΛΕΓΜΑΤΑ	
18.11.01.09.001	C-Reactive Protein	CRP	C-ΑΝΤΙΔΡΩΣΑ ΠΡΩΤΕΙΝΗ	
18.11.01.10.001	Rheumatoid Factors	RF	ΡΕΥΜΑΤΟΕΙΔΗΣ ΠΑΡΑΓΩΝ	
18.11.01.11.001	Anti-Cyclic Citrullinated Peptide	Anti-CCP	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΚΥΚΛΙΚΟΥ ΚΙΤΡΙΛΙΩΜΕΝΟΥ ΠΕΠΤΙΔΙΟΥ	
18.11.01.90.900	Other Rheumatoid / Inflammatory Disease Markers		ΑΛΛΟΙ ΔΕΙΚΤΕΣ ΡΕΥΜΑΤΟΕΙΔΩΝ-ΦΛΕΓΜΟΝΩΔΩΝ ΝΟΣΗΜΑΤΩΝ	
18.90.90.90.900	OTHER OTHER IMMUNOLOGY TESTS		ΑΛΛΕΣ ΑΝΟΣΟΛΟΓΙΚΕΣ ΕΞΕΤΑΣΕΙΣ ΠΟΥ ΔΕΝ ΑΝΑΦΕΡΟΝΤΑΙ ΑΛΛΟΥ	
